Designator,Mid X,Mid Y,Rotation,Layer
BZ1,147.495,-68.875,180.0,top
C1,149.5,-53.0,270.0,top
C2,151.25,-53.025,270.0,top
D1,138.25,-56.125,270.0,top
J1,147.385,-36.725,0.0,top
J2,124.4,-45.185,180.0,top
Q1,132.5,-57.3125,90.0,top
R1,142.75,-62.2,270.0,top
R2,140.5,-62.2,270.0,top
R3,157.5,-62.425,270.0,top
R4,133.45,-63.175,270.0,top
R5,131.2,-63.175,90.0,top
R6,132.5,-53.5625,0.0,top
SW1,147.495,-76.5,0.0,top
SW2,147.495,-93.5,0.0,top
SW3,159.4,-85.0,0.0,top
SW4,135.595,-85.0,0.0,top
SW5,147.495,-85.0,0.0,top
SW6,124.9,-54.7,270.0,top
U1,147.75,-47.0,0.0,top
U2,122.5,-68.0,180.0,bottom
